comment_id,animosity
k179gb5,0
k179n7m,1
k179xfb,1
k17aghu,1
k17aibx,0
k17al0k,0
k17b076,0
k17b8a4,0
k17b9vk,0
k17bakf,0
k17bccq,1
k17bg4b,0
k17bqts,0
k17bx5e,0
k17ck2k,0
k17cp4q,0
k17cvjm,0
k17d0cl,0
k17d7ma,0
k17dj39,0
k17e7o6,0
k17elz7,0
k17g7s1,0
k17hcnr,0
k17j0cn,1
k17k7s6,0
k17kf6z,0
k17kszg,0
k17kttw,1
k17lwpu,0
k17m81y,0
k17nnhi,0
k17r83d,0
k17rc31,0
k17v8at,0
k17vozw,0
k17x0o0,0
k17x7c0,0
k17xaff,0
k17zkva,0
k1820n3,1
k18342w,1
k1838br,1
k183jt2,1
k183lkx,0
k183tfg,0
k184anf,0
k184jom,0
k184kp5,0
k184ouh,0
k184qig,0
k184uv7,0
k1853ox,0
k1855vl,0
k185bo0,0
k185e57,0
k1860n6,1
k1864oo,0
k186iti,0
k1876ja,0
k187js6,0
k1884rv,0
k188i0e,0
k1892yp,1
k18a0tk,0
k18amdl,0
k18arnv,0
k18b7dh,1
k18cmvp,0
k18ctwz,1
k18e75m,1
k18et3o,0
k18fh6m,0
k18gen9,0
k18gtj8,0
k18hmed,0
k18i8ih,0
k18iype,0
k18j853,0
k18k0ap,0
k18mu7d,1
k18mz5d,0
k18neju,1
k18owtb,0
k18pfne,0
k18pq9o,0
k18qbcp,0
k18qjxl,0
k18qtyk,0
k18qysv,0
k18rhpf,1
k18rhub,1
k18rk9d,1
k18rud2,0
k18sjs9,0
k18tt1l,0
k18uq85,0
k18uwjm,0
k18v073,1
k18v4y2,0
k18vngt,1
k18xhl4,1
k18y9wr,1
k18yy4x,1
k18z6po,0
k190w06,0
k191zju,0
k192cnk,1
k192jvp,1
k193nb1,0
k194cwl,0
k195qf8,0
k1963so,0
k1966oc,0
k197gb4,0
k198jyc,1
k1999mq,0
k19amez,0
k19birl,0
k19bvs3,0
k19c1bf,0
k19ca1q,0
k19cf6t,0
k19cuey,0
k19d21c,1
k19d6jx,0
k19dpgi,0
k19edoq,0
k19hcee,0
k19hp3n,1
k19i5q6,1
k19i8nj,0
k19icbg,1
k19ihfh,0
k19jn47,0
k19jy14,0
k19lq0k,0
k19lt6d,1
k19m61p,1
k19mhze,0
k19msgj,0
k19o07s,0
k19o4rr,0
k19obim,0
k19obpx,0
k19ohct,0
k19p2rq,0
k19ppns,0
k19qlbs,1
k19qwmr,1
k19qy2d,0
k19s2hm,0
k19s30v,0
k19soj7,0
k19uk5d,0
k19umq0,0
k19un0m,1
k19uv73,1
k19vhcc,0
k19vj4w,0
k19wdis,0
k19wmaj,0
k19wtoj,0
k19x4l0,0
k19xpsz,1
k19yljk,0
k19zw9g,0
k1a08b9,0
k1a0dy5,0
k1a0zwz,1
k1a1m1t,0
k1a4g78,0
k1a4ruo,0
k1a6pqb,0
k1a6to3,0
k1a71xx,0
k1a7asm,1
k1a7ngx,0
k1a7pl2,1
k1a7vb6,0
k1a7yhl,0
k1a83v9,1
k1aanxv,1
k1abkuq,0
k1abqo1,0
k1af0b5,0
k1age88,0
k1ahmui,0
k1aipem,0
k1ak68o,0
k1al6n0,1
k1am8fv,1
k1amm8k,0
k1ampjq,1
k1anpz9,0
k1apdum,0
k1apuid,0
k1aq661,0
k1auu7d,0
k1auwfr,0
k1aveyx,0
k1avid0,0
k1ax890,0
k1ay5ml,0
k1azrvb,1
k1b07hl,0
k1b0rfi,0
k1b1nl3,0
k1b2v5e,1
k1b3gmg,0
k1b54mx,1
k1b6mtj,0
